Account,ParentAccount,Functie,Romana
4903,490,C,Ajustări pentru deprecierea creanţelor aferente imobilizărilor corporale
4904,490,C,Ajustări pentru deprecierea creanţelor aferente imobilizărilor necorporale
491,49,C,Ajustări pentru deprecierea creanţelor - clienţi
495,49,C,Ajustări pentru deprecierea creanţelor – decontări în cadrul grupului şi cu acţionarii/asociaţii
496,49,C,Ajustări pentru deprecierea creanţelor - debitori diverşi
5,,D,- Conturi de trezorerie
50,5,D,Investiţii pe termen scurt
501,50,D,Acţiuni deţinute la entităţile afiliate
505,50,D,Obligaţiuni emise şi răscumpărate
506,50,D,Obligaţiuni
507,50,D,Certificate verzi primite
508,50,D,Alte investiţii pe termen scurt şi creanţe asimilate
5081,508,D,Alte titluri de plasament
5088,508,D,Dobânzi la obligaţiuni şi titluri de plasament
509,50,C,Vărsăminte de efectuat pentru investiţiile pe termen scurt
5091,509,C,Vărsăminte de efectuat pentru acţiunile deţinute la entităţile afiliate
5092,509,C,Vărsăminte de efectuat pentru alte investiţii pe termen scurt
51,5,B,Conturi la bănci
511,51,D,Valori de încasat
5112,511,D,Cecuri de încasat
5113,511,D,Efecte de încasat
5114,511,D,Efecte remise spre scontare
512,51,B,Conturi curente la bănci
5121,512,B,Conturi la bănci în lei
5124,512,B,Conturi la bănci în valută
5125,512,D,Sume în curs de decontare
5126,512,B,Conturi la bănci în lei - TVA defalcat
5127,512,B,Conturi la bănci în valută - TVA defalcat
518,51,B,Dobânzi
5186,518,C,Dobânzi de plătit
5187,518,D,Dobânzi de încasat
519,51,C,Credite bancare pe termen scurt
5191,519,C,Credite bancare pe termen scurt
5192,519,C,Credite bancare pe termen scurt nerambursate la scadenţă
5193,519,C,Credite externe guvernamentale
5194,519,C,Credite externe garantate de stat
5195,519,C,Credite externe garantate de bănci
5196,519,C,Credite de la Trezoreria Statului
5197,519,C,Credite interne garantate de stat
5198,519,C,Dobânzi aferente creditelor bancare pe termen scurt
53,5,D,Casa
531,53,D,Casa
5311,531,D,Casa în lei
5314,531,D,Casa în valută
532,53,D,Alte valori
5321,532,D,Timbre fiscale şi poştale
5322,532,D,Bilete de tratament şi odihnă
5323,532,D,Tichete şi bilete de călătorie
5328,532,D,Alte valori
54,5,D,Acreditive
541,54,D,Acreditive
5411,541,D,Acreditive în lei
5414,541,D,Acreditive în valută
542,54,D,Avansuri de trezorerie16
58,5,B,Viramente interne
581,58,B,Viramente interne
59,5,C,Ajustări pentru pierderea de valoare a conturilor de trezorerie
591,59,C,Ajustări pentru pierderea de valoare a acţiunilor deţinute la entităţile afiliate
595,59,C,Ajustări pentru pierderea de valoare a obligaţiunilor emise şi răscumpărate
596,59,C,Ajustări pentru pierderea de valoare a obligaţiunilor
598,59,C,Ajustări pentru pierderea de valoare a altor investiţii pe termen scurt şi creanţe asimilate
6,,D,Conturi de cheltuieli
60,6,D,Cheltuieli privind stocurile si alte consumuri
601,60,D,Cheltuieli cu materiile prime
602,60,D,Cheltuieli cu materialele consumabile
6021,602,D,Cheltuieli cu materialele auxiliare
6022,602,D,Cheltuieli privind combustibilii
6023,602,D,Cheltuieli privind materialele pentru ambalat
6024,602,D,Cheltuieli privind piesele de schimb
6025,602,D,Cheltuieli privind seminţele şi materialele de plantat
6026,602,D,Cheltuieli privind furajele
6028,602,D,Cheltuieli privind alte materiale consumabile
603,60,D,Cheltuieli privind materialele de natura obiectelor de inventar
604,60,D,Cheltuieli privind materialele nestocate
605,60,D,Cheltuieli privind utilitatile
6051,605,D,Cheltuieli privind consumul de energie
6052,605,D,Cheltuieli privind consumul de apă
6053,605,D,Cheltulieli privind consumul de gaze naturale
6058,605,D,Cheltuieli cu alte utilitati
606,60,D,Cheltuieli privind activele biologice de natura stocurilor
607,60,D,Cheltuieli privind mărfurile
608,60,D,Cheltuieli privind ambalajele
609,60,C,Reduceri comerciale primite
61,6,D,Cheltuieli cu serviciile executate de terţi
611,61,D,Cheltuieli cu întreţinerea şi reparaţiile
612,61,D,"Cheltuieli cu redevenţele, locaţiile de gestiune şi chiriile"
613,61,D,Cheltuieli cu primele de asigurare
614,61,D,Cheltuieli cu studiile şi cercetările
615,61,D,Cheltuieli cu pregătirea personalului
616,61,D,Cheltuieli aferente drepturilor de proprietate intelectuală
617,61,D,Cheltuieli de management
618,61,D,Cheltuieli de consultanță
62,6,D,Cheltuieli cu alte servicii executate de terţi
621,62,D,Cheltuieli cu colaboratorii
622,62,D,Cheltuieli privind comisioanele şi onorariile
623,62,D,"Cheltuieli de protocol, reclamă şi publicitate"
6231,623,D,Cheltuieli de protocol
6232,623,D,Cheltuieli de reclamă şi publicitate
624,62,D,Cheltuieli cu transportul de bunuri şi personal
625,62,D,"Cheltuieli cu deplasări, detaşări şi transferări"
626,62,D,Cheltuieli poştale şi taxe de telecomunicaţii
627,62,D,Cheltuieli cu serviciile bancare şi asimilate
628,62,D,Alte cheltuieli cu serviciile executate de terţi
63,6,D,"Cheltuieli cu alte impozite, taxe şi vărsăminte asimilate"
635,63,D,"Cheltuieli cu alte impozite, taxe şi vărsăminte asimilate"
64,6,D,Cheltuieli cu personalul
641,64,D,Cheltuieli cu salariile personalului
642,64,D,Cheltuieli cu avantajele în natură și tichetele acordate salariaţilor
6421,642,D,Cheltuieli cu avantajele în natură acordate salariaţilor
6422,642,D,Cheltuieli cu tichetele acordate salariaților
643,64,D,Cheltuieli cu remunerarea în instrumente de capitaluri proprii
644,64,D,Cheltuieli cu primele reprezentând participarea personalului la profit
645,64,D,Cheltuieli privind asigurările şi protecţia socială
6451,645,D,Cheltuieli privind contribuţia unităţii la asigurările sociale
6452,645,D,Cheltuieli privind contribuţia unităţii pentru ajutorul de şomaj
6453,645,D,Cheltuieli privind contribuţia angajatorului pentru asigurările sociale de sănătate
6455,645,D,Cheltuieli privind contribuţia unităţii la asigurările de viaţă
6456,645,D,Cheltuieli privind contribuţia unităţii la fondurile de pensii facultative
6457,645,D,Cheltuieli privind contribuția societății la primele de asigurare voluntară de sănătate
6458,645,D,Alte cheltuieli privind asigurările și protecția socială
646,64,D,Cheltuieli privind contribuţia asiguratorie pentru muncă
6461,646,D,Cheltuieli privind contribuţia asiguratorie pentru muncă corespunzătoare salariaţilor
6462,646,D,"Cheltuieli privind contribuţia asiguratorie pentru muncă corespunzătoare altor persoane, decât salariaţii"
65,6,D,Alte cheltuieli de exploatare
651,65,D,Cheltuieli din operaţiuni de fiducie
6511,651,D,Cheltuieli ocazionate de constituirea fiduciei
6512,651,D,Cheltuieli din derularea operaţiunilor de fiducie
6513,651,D,Cheltuieli din lichidarea operaţiunilor de fiducie
652,65,D,Cheltuieli cu protecţia mediului înconjurător
654,65,D,Pierderi din creanţe şi debitori diverşi
655,65,D,Cheltuieli din reevaluarea imobilizărilor corporale
658,65,D,Alte cheltuieli de exploatare
6581,658,D,"Despăgubiri, amenzi şi penalităţi"
6582,658,D,Donaţii acordate
6583,658,D,Cheltuieli privind activele cedate şi alte operaţii de capital
6584,658,D,Cheltuieli cu sumele sau bunurile acordate ca sponsorizări
6586,658,D,Cheltuieli reprezentând transferuri şi contribuţii datorate în baza unor acte normative speciale
6587,658,D,Cheltuieli privind calamităţile şi alte evenimente similare
6588,658,D,Alte cheltuieli de exploatare
66,6,D,Cheltuieli financiare
663,66,D,Pierderi din creanţe legate de participaţii
664,66,D,Cheltuieli privind investiţiile financiare cedate
6641,664,D,Cheltuieli privind imobilizările financiare cedate
6642,664,D,Pierderi din investiţiile pe termen scurt cedate
665,66,D,Cheltuieli din diferenţe de curs valutar
6651,665,D,Diferenţe nefavorabile de curs valutar legate de elementele monetare exprimate în valută
6652,665,D,Diferenţe nefavorabile de curs valutar din evaluarea elementelor monetare care fac parte din investiţia netă într-o entitate străină
666,66,D,Cheltuieli privind dobânzile
667,66,D,Cheltuieli privind sconturile acordate
668,66,D,Alte cheltuieli financiare
68,6,D,"Cheltuieli cu amortizările, provizioanele şi ajustările pentru depreciere sau pierdere de valoare"
681,68,D,"Cheltuieli de exploatare privind amortizările, provizioanele şi ajustările pentru depreciere"
6811,681,D,Cheltuieli de exploatare privind amortizarea imobilizărilor
6812,681,D,Cheltuieli de exploatare privind provizioanele
6813,681,D,Cheltuieli de exploatare privind ajustările pentru deprecierea imobilizărilor
6814,681,D,Cheltuieli de exploatare privind ajustările pentru deprecierea activelor circulante
6817,681,D,Cheltuieli de exploatare privind ajustările pentru deprecierea fondului comercial
6818,681,D,Cheltuieli de exploatare privind ajustările pentru deprecierea creanţelor reprezentând avansuri acordate furnizorilor
686,68,D,"Cheltuieli financiare privind amortizările, provizioanele şi ajustările pentru pierdere de valoare"
6861,686,D,Cheltuieli privind actualizarea provizioanelor
6863,686,D,Cheltuieli financiare privind ajustările pentru pierderea de valoare a imobilizărilor financiare
6864,686,D,Cheltuieli financiare privind ajustările pentru pierderea de valoare a activelor circulante
6865,686,D,Cheltuieli financiare privind amortizarea diferenţelor aferente titlurilor de stat
