ID_GEST_DEFA_NOTA_CONT|ID_GEST_DEFA_DOCUM|ID_GEST_TIP_MATERIAL|CONT_DEBITOR|CONT_CREDITOR|FORMULA|CONDITIE|COD_ECONOMIC|COD_FUNCTIONAL|SEMN_ITEMS
1460|293|1543|610.00.00|401.01.00||NULL||NULL|NULL
1461|293|1549|612.00.00|401.01.00||NULL||NULL|NULL
1462|293|1554|613.00.00|401.01.00||NULL||NULL|NULL
1463|293|1558|614.00.00|401.01.00||NULL||NULL|NULL
1464|293|1552|622.00.00|401.01.00||NULL||NULL|NULL
1465|293|1556|623.00.00|401.01.00||NULL||NULL|NULL
1466|293|1553|626.00.00|401.01.00||NULL||NULL|NULL
1467|293|1550|628.00.00|401.01.00||NULL||NULL|NULL
1468|293|1548|629.01.00|401.01.00||NULL||NULL|NULL
1469|293|1557|654.00.00|401.01.00||NULL||NULL|NULL
1470|293|1566|679.00.00|401.01.00||NULL||NULL|NULL
1480|6|1587|682.01.09|404.01.00|NULL|NULL||NULL|NULL
1488|6|1594|401.01.00|779.01.09|NULL|NULL||NULL|NULL
1491|279|1567|461 01 09 02A 10|302 08 00 02A 03||NULL||NULL|NULL
1492|225|1567|461 01 09 02A 10|302 08 00 02A 03||NULL||NULL|NULL
1515|65|904|603.00.00|303.02.00||NULL||NULL|NULL
1516|6|1311|231.00.00|404.01.00||NULL||NULL|NULL
1517|6|25|302.08.00|401.01.00||NULL||NULL|NULL
1519|65|22|603.00.00|303.01.00||NULL||NULL|NULL
1520|65|25|602.08.00|302.08.00||NULL||NULL|NULL
1523|210|22|303.02.00|303.01.00||NULL||NULL|NULL
1524|6|1542|602.08.00|401.01.00||NULL||NULL|NULL
1525|268|1555|602.02.00|461.01.09.4||NULL||NULL|NULL
1526|33|917|461.01.09.4|532.04.00||NULL||NULL|NULL
1528|268|917|602.02.00|461.01.09.4||NULL||NULL|NULL
1529|6|1603|214.00.00|404.01.00||NULL||NULL|NULL
1530|6|1604|532.08.00|401.01.00||NULL||NULL|NULL
1532|212|1573|411.01.01|448.01.00||NULL||NULL|NULL
1533|212|1573|411.01.01|442.07.00||||NULL|NULL
1534|283|1573|411.01.01|442.07.00||NULL||NULL|NULL
1535|6|1132|208.01.00|404.01.00||NULL||NULL|NULL
1536|6|1605|208.02.00|404.01.00||NULL||NULL|NULL
1540|220|22|303.01.00|303.02.00||NULL||NULL|NULL
1541|69|904|303.02.00|303.01.00|NULL|NULL||NULL|NULL
1544|6|1607|409.01.01|401.01.00||NULL||NULL|NULL
1545|6|912|302.09.00.1|401.01.00||NULL||NULL|NULL
1546|6|1609|302.09.00.2|401.01.00||NULL||NULL|NULL
1547|6|1610|302.09.00.4|401.01.00||NULL||NULL|NULL
1548|6|5|302.02.00.2|401.01.00||NULL||NULL|NULL
1549|6|1608|302.02.00.3|401.01.00||NULL||NULL|NULL
1550|65|1609|602.09.00|302.09.00.2||NULL||NULL|NULL
1551|65|1610|602.09.00|302.09.00.4||NULL||NULL|NULL
1552|65|1608|602.02.00|302.02.00.3||NULL||NULL|NULL
1587|47|1573|411.01.01|448.01.00||NULL|20.99|NULL|NULL
1588|301|1573|411.01.01|448.01.00||NULL||NULL|NULL
1591|6|1555|602.02.00|401.01.00||NULL||NULL|NULL
1592|289|1555|602.02.00|401.01.00||NULL||NULL|NULL
1593|289|1558|614.00.00|401.01.00||NULL||NULL|NULL
1594|289|1554|613.00.00|401.01.00||NULL||NULL|NULL
1596|289|1550|628.00.00|401.01.00||NULL||NULL|NULL
1597|254|25|302.08.00|542.01.00||NULL||NULL|NULL
1598|254|5|302.02.00.2|542.01.00||NULL||NULL|NULL
1599|295|5|302.02.00.2|542.01.00||NULL||NULL|NULL
1600|295|25|302.08.00|542.01.00||NULL||NULL|NULL
1601|296|5|302.02.00.2|542.01.00||NULL||NULL|NULL
1602|296|25|302.08.00|542.01.00||NULL||NULL|NULL
