id_gest_defa_docum_nota_model|id_gest_defa_docum|idGestCategorii|peDoc|formula_nota|ContDebit|ContCredit|repartitorDebit|repartitorCredit|codFunctional|codEconomic|idAngajamenteDefalcare|prefixExplicatie|sufixExplicatie|explicatie|id_gest_tip_material
55|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2081.1.04.1')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1143
56|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2081.1.04.2')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1144
57|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2081.1.04.3')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1145
58|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2081.1.05')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1146
59|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2081.2')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1147
60|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2082.1.01.1')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1151
61|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2082.1.01.2')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1152
62|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2082.1.01.3')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1153
63|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2082.1.03.1')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1155
64|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2082.1.03.2')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1156
65|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2082.1.03.3')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1157
66|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2082.1.04')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1158
67|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2082.2')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1159
68|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2111')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1162
69|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2112.01')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1164
70|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '212.01.1')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1167
71|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '212.01.2')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1168
72|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '212.01.3')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1169
73|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '212.01.4.01.1')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1172
74|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '212.01.4.01.2')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1173
75|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '212.01.4.01.3')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1174
76|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '212.01.4.03.1')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1176
77|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '212.01.4.03.2')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1177
78|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '212.01.4.03.3')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1178
79|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '212.01.4.05.1')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1180
80|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '212.01.4.05.2')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1181
